GID	LLGTH	NBL	TIL	DEPTH	LENGTH	NR_30	SBM	RB0020	RB2030	RB3050	RB	DRB	DRP	PB	R_S	CONE_AA	CONE_MS	CONE_P	CONE
35	77.97	7.75	4.58	37.59	43.99	11.82	1.2312	0.1245	0.0207	0.0113	0.1565	0.032	16.18	1.3881	0.1237	12.87	36.2	21.83	23.56
36	109.12	8.29	8.52	38.98	37.74	7.53	2.2165	0.2095	0.0143	0.0017	0.2256	0.0161	7.51	2.4424	0.1053	30.08	40.42	31.09	33.77
37	72.17	7.74	6.13	29.24	30.29	7.17	1.5838	0.187	0.013	0.003	0.2029	0.016	4.64	1.7872	0.1215	17.13	33.28	18.5	23.46
38	78.25	7.42	6.21	46.44	48.69	13.01	1.0914	0.1454	0.0368	0.0209	0.2018	0.0564	22.47	1.2935	0.1807	27.49	36.04	28.2	31.31
41	64.45	8.23	6.5	27.63	28.15	1.82	1.1645	0.247	0.004	-0.0012	0.2486	0.0016	1.37	1.4134	0.1791	67.95	69.51	57.16	65.03
42	75.09	7.7	3.63	47.45	49.85	24.14	1.5157	0.1653	0.0424	0.024	0.2315	0.0662	27.78	1.7476	0.161	64.81	51.27	51.57	56.45
43	80.8	7.43	5.91	32.32	34.78	6.02	1.1089	0.1147	0.0045	-0.0029	0.1163	0.0016	7.36	1.2253	0.1049	36.68	42.38	37.5	38.73
44	87.8	7.33	5.25	28.09	29.32	2.3	0.9161	0.0947	0.0058	0.0008	0.1013	0.0066	3.91	1.0136	0.0913	42.19	58.84	41.12	47.36
46	88.64	7.69	9.21	38.49	40.49	19.62	1.9895	0.2209	0.0317	0.0069	0.2595	0.0386	14.25	2.2494	0.1336	61.44	57.02	54.23	57.47
47	74.36	6.85	4.65	34.5	34.7	7.66	0.8817	0.0703	0.0075	0.0009	0.0786	0.0083	11.14	0.9605	0.0892	34.13	38.84	37.29	37.29
48	78.84	6.42	3.98	29.11	28.59	3.15	0.9527	0.0971	0.0059	-0.0019	0.101	0.0039	5.8	1.0543	0.1126	24.05	45.78	33.29	34.28
49	61.21	8.27	8.53	29.27	30.67	5.16	1.2581	0.1396	0.0336	-0.0003	0.1729	0.0333	19.34	1.4314	0.1424	43.03	45.61	35.34	41.23
51	82.89	7.47	10.48	31.36	31.09	3.15	2.3811	0.2439	0.0054	-0.0023	0.247	0.0031	1.32	2.6287	0.1045	22.61	32.56	27.25	27.38
53	66.87	8.05	7.92	33.18	34.9	6.98	1.3931	0.1593	0.0111	0.0008	0.1713	0.0119	6.11	1.5648	0.1212	28	35.61	26.05	29.8
54	94.88	7.86	8.28	50.32	49.53	19.16	2.389	0.2562	0.0502	0.0231	0.3295	0.0733	21.75	2.7189	0.1349	24.05	27.91	24.24	25.33
